Dialogue Act                          Labels         Count      %       Train Count   Train %    Test Count     Test %     Val Count     Val %  
Inform                                inform          3066    20.35        2422        20.06         338        22.70         306        20.37  
Acknowledge                            ackn           2015    13.37        1621        13.42         189        12.69         205        13.65  
Request Inform                       reqInfo          1404     9.32        1141         9.45         128         8.60         135         8.99  
Backchannel                           backch          1131     7.51         902         7.47         112         7.52         117         7.79  
Answer                                 answ           844      5.60         677         5.61         79          5.31         88          5.86  
Initialise                             init           797      5.29         626         5.18         84          5.64         87          5.79  
Thank                                 thank           770      5.11         621         5.14         82          5.51         67          4.46  
Greet                                 greet           529      3.51         432         3.58         51          3.43         46          3.06  
Accept                                accept          464      3.08         373         3.09         49          3.29         42          2.80  
Answer Elaborate                     answElab         457      3.03         376         3.11         30          2.01         51          3.40  
Inform Intention                   informIntent       428      2.84         341         2.82         41          2.75         46          3.06  
Bye                                    bye            412      2.73         335         2.77         39          2.62         38          2.53  
Direct                                direct          401      2.66         323         2.67         36          2.42         42          2.80  
Confirm                              confirm          349      2.32         284         2.35         35          2.35         30          2.00  
Express Regret                    expressRegret       255      1.69         213         1.76         19          1.28         23          1.53  
Hold                                   hold           219      1.45         178         1.47         19          1.28         22          1.46  
Express Opinion                   expressOpinion      197      1.31         144         1.19         26          1.75         27          1.80  
Offer                                 offer           157      1.04         129         1.07         13          0.87         15          1.00  
Echo                                   echo           128      0.85         107         0.89         10          0.67         11          0.73  
Appreciate                          appreciate        111      0.74         90          0.75         12          0.81          9          0.60  
Refer                                 refer           109      0.72         81          0.67         14          0.94         14          0.93  
Suggest                              suggest          103      0.68         81          0.67          9          0.60         13          0.87  
Request Direct                      reqDirect          94      0.62         74          0.61          6          0.40         14          0.93  
Negate                                negate           91      0.60         73          0.60          9          0.60          9          0.60  
Exclaim                              exclaim           83      0.55         68          0.56          7          0.47          8          0.53  
Pardon                                pardon           83      0.55         68          0.56         12          0.81          3          0.20  
Identify Self                      identifySelf        73      0.48         60          0.50          7          0.47          6          0.40  
Express Possibility             expressPossibility     71      0.47         56          0.46          5          0.34         10          0.67  
Raise Issue                         raiseIssue         35      0.23         30          0.25          4          0.27          1          0.07  
Express Wish                       expressWish         34      0.23         28          0.23          2          0.13          4          0.27  
Request Modal                        reqModal          26      0.17         20          0.17          2          0.13          4          0.27  
Complete                             complete          20      0.13         13          0.11          5          0.34          2          0.13  
Direct Elaborate                    directElab         20      0.13         14          0.12          3          0.20          3          0.20  
Correct                              correct           19      0.13         15          0.12          2          0.13          2          0.13  
Refuse                                refuse           16      0.11         12          0.10          3          0.20          1          0.07  
Inform Intent Hold              informIntent-hold      13      0.09         11          0.09          2          0.13          0          0.00  
Inform Continue                     informDisc         12      0.08         11          0.09          1          0.07          0          0.00  
Inform Discontinue                  informCont         12      0.08         10          0.08          2          0.13          0          0.00  
Self Talk                            selfTalk          10      0.07          7          0.06          2          0.13          1          0.07  
Correct Self                       correctSelf         7       0.05          7          0.06          0          0.00          0          0.00  
Express Regret Inform          expressRegret-inform    1       0.01          1          0.01          0          0.00          0          0.00  
Thank Identify Self             thank-identifySelf     1       0.01          1          0.01          0          0.00          0          0.00  
