Words                  Count    
i                       6556    
you                     6276    
it                      5169    
the                     4479    
's                      4169    
that                    3077    
to                      3052    
a                       2976    
and                     2852    
yeah                    2457    
number                  1939    
is                      1831    
right                   1800    
um                      1698    
for                     1526    
n't                     1495    
do                      1479    
just                    1371    
me                      1364    
have                    1343    
've                     1335    
on                      1323    
oh                      1226    
what                    1187    
thank                   1186    
uh                      1186    
no                      1093    
yes                     1076    
they                    1050    
of                      1009    
can                     1005    
in                      1005    
if                      966     
please                  946     
'm                      926     
was                     886     
got                     877     
bye                     852     
then                    837     
okay                    830     
we                      818     
there                   800     
'll                     777     
so                      760     
your                    743     
know                    729     
but                     692     
line                    670     
not                     659     
get                     650     
be                      650     
call                    646     
at                      627     
well                    622     
phone                   611     
sorry                   610     
this                    596     
with                    589     
my                      580     
ok                      576     
through                 554     
're                     542     
or                      512     
thanks                  508     
hello                   505     
could                   493     
one                     493     
like                    489     
now                     465     
been                    457     
up                      419     
would                   415     
put                     408     
all                     406     
want                    376     
mm                      370     
an                      366     
actually                366     
about                   365     
alright                 354     
see                     353     
much                    341     
out                     339     
bill                    337     
telephone               322     
double                  322     
from                    322     
name                    313     
time                    308     
very                    308     
mean                    301     
are                     296     
as                      295     
er                      292     
morning                 286     
address                 273     
need                    263     
ca                      262     
them                    261     
she                     259     
hold                    250     
how                     249     
give                    246     
byebye                  246     
think                   244     
when                    243     
try                     242     
back                    239     
had                     233     
let                     224     
which                   219     
moment                  218     
help                    212     
calls                   211     
off                     209     
customer                209     
he                      207     
'd                      201     
code                    199     
did                     197     
ring                    196     
said                    195     
tell                    195     
look                    193     
because                 192     
sort                    192     
good                    192     
here                    190     
ringing                 185     
where                   182     
will                    181     
confirm                 181     
five                    175     
go                      170     
ah                      169     
trying                  167     
say                     165     
problem                 165     
does                    164     
yep                     164     
wrong                   163     
dial                    160     
cause                   157     
only                    156     
who                     152     
any                     151     
getting                 149     
check                   149     
has                     148     
take                    146     
operator                145     
service                 145     
going                   144     
